rmse,rmse_lr,r2,r2_lr,acc,CO_MES,CO_GEO,CO_PRDT
612.6,642.9,-0.6,-0.7,0.8,2,817800,12019000
537.8,595.8,0.4,0.3,0.9,8,817800,12019000
