Mês previsto,var_target,Fator_Influenciador
2,kt,"Mês:02 - Porto:AL -Adubos contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes,  - acumulado trimestre"
2,oc,chuvas - Mês: 02 - Local: MG
8,kt,"Mês:08 - Porto:SP -Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido - acumulado ano"
8,oc,chuvas - Mês: 01 - Local: MA
